ID,name,latitude,longitude,mean_checkin_time,review,category
3007,The New Orleans Vampire Cafe,29.9590325595,-90.0640361117,17.0,"Amazing service. Cool vibe. It's not spooky or anything it's actually very clean and modern with old touches. I think it attracts interesting people, that gives the ambiance the edge.",Restaurants
1829,Ted's Frostop,29.947026,-90.113604,17.0,"Breakfast here is great and there's never a huge wait. The place has the feel of old time diner. The menu is basic, but portions are generous and prices are low - eggs any style, bacon, grits, home fries, biscuits and pancakes. The pancakes here are delicious! Outside texture is a little crispy. Inside they're a tiny bit sweet and unlike any others I've had. Their biscuits are buttery and decadent. I usually get the Early Bird (2 eggs, bacon, grits, and pancakes). Try their root beer too.",Restaurants
298,The Will & The Way,29.9575727,-90.0658268,9.5,So glad that we stumbled in here! The cheeseburger was excellent! Not too big; not too small. Great flavor and a special sauce. Messy in a good way! Service at the bar was excellent too. So glad they re-opened!,Restaurants
1245,Public Belt,29.9463932,-90.0637286,3.0,"AMAZING! Try this place out.  Great for some great cocktails with friends, colleagues or even a great spot for a date.  Which there were a circa ""bar nuts/snacks"" when you order.",Nightlife
2902,Phillys Cafe,29.9418183,-90.0947971,18.0,"WooHoo, best philly cheese staks I have had in New Orleans. These guys are between the McDonalds and the old Pizza Hut on Claiborne, I got carry out for the first time from there and wow it was good. They are not dripping grease like most cheese steaks and the bread is great. Many times the sub rolls on cheese staks are huge and you end up with too much bread, not the case here. WARNING, they spice their meat and it has a bit of kick. Definately give these guys a shot if you are in the area.",Restaurants
2250,PDR,29.9682679,-90.0326531,18.0,"At the St Roch market. Went last week (Oct ,2015) . I had  a ""to die for"" shaved Brussels sprouts salad,  and a very tasty pastrami sandwich (just a tad on the greasy side). Good service, decent price.  I intend to return.",Restaurants
2627,Smokecignals,29.9625677,-90.1149581,19.0,I lost my Vape in a cab. Luckily I found an amazing Vape shop out here in NOLA. Their selection and knowledge rivals anything out in SD. Great shop I would highly recommend  that if you are in the area and need supplies that you stop by.,Shopping
2034,Coterie Restaurant & Oyster Bar,29.95277,-90.066443,17.0,"We really enjoyed our meal here, and the service was excellent. My husband had the blackened alligator as an app and I had the crab and corn bisque - both great. Highly recommend getting blackened instead of fried... unless you just don't like blackened seasoning.  I had the shrimp po' boy and he had the red fish for our mains. I should have ordered something a little more specialized - save the po' boy for a more basic place! They do a great job with flavoring and there's a lot of great options on the menu. Worth a visit!",Restaurants
1138,Wish,29.9545043,-90.0642156,19.0,"I work in the area very close to Wish, so I frequent the store quite often. Most reviews are correct, the quality is subpar, but lets be honest...you get what you pay for. Wish is a great place to get that ""one time"" outfit you need and will most likely not wear again. The associates are incredibly sweet and helpful and the styles of the clothing are usually up to date for New Orleans fashion (or lack there of).",Shopping
2610,Union Kitchen & Union Party Room,29.9566786326,-90.0666184483,17.0,So I got there and I saw a monte cristo sandwich on the menu and sat down and found out it was still breakfast.  I was gonna leave except the waitress said let me check with the chef.  She came back and the chef offered to make me a monte cristo with waffles instead of bread off the menu.  It was awesome!!!!!!!!!,Restaurants
